id,platforms
1959,"Xbox One, Xbox 360, PlayStation 3, PlayStation 4, Android, iOS, macOS, Linux, PC"
3771,"Xbox One, Xbox 360, PlayStation 3, PC, Nintendo Switch, Wii U, PlayStation 4, PS Vita"
4550,"Xbox 360, PC, Xbox One, PlayStation 3"
857,"PC, Xbox One"
17875,"PlayStation 4, Xbox 360, Wii U, Nintendo Switch, PC, Xbox One"
42187,"PlayStation 4, macOS, PC, Xbox One, Xbox Series S/X"
3932,"Xbox 360, PC, PlayStation 3, macOS"
42,"Xbox One, iOS, PC, Nintendo Switch, PlayStation 4"
19365,"PlayStation 3, PC, Xbox 360"
18241,"PlayStation 3, PC, Xbox One, PlayStation 4, Xbox 360"
3757,"Xbox One, PlayStation 4, PlayStation 3, PC, Nintendo Switch, Xbox 360"
3015,"PC, Xbox One, Xbox 360, PlayStation 3, PlayStation 4, macOS, Linux"
5703,"PlayStation 4, PlayStation 3"
29338,"PC, PlayStation 4"
2733,"Nintendo Switch, PlayStation 4, Linux, macOS, PC"
9475,"PlayStation 3, PS Vita, Linux, Wii U, Xbox One, PC, macOS, PlayStation 4"
7819,"PlayStation 4, Nintendo Switch, macOS, Xbox One, Linux, Web, PC"
9600,"PC, PlayStation 4"
23322,"PlayStation 4, Xbox One, PC, macOS, Linux"
3408,"Android, PS Vita, PlayStation 4, PlayStation 3, Linux, macOS, PC, Nintendo Switch, iOS"
22781,"iOS, Xbox, Android, PlayStation 3, PlayStation 2, Xbox 360, Nintendo Switch, macOS, PC"
2873,"Android, macOS, PC, iOS, Xbox One, PlayStation 4"
3486,"Nintendo DS, Nintendo Switch, macOS, PC, iOS, PlayStation 3, Xbox 360, Android"
21924,"PlayStation 4, Xbox One, PC"
15834,"macOS, PC, iOS, Android, PS Vita, PlayStation 3, Xbox 360, Nintendo Switch, PlayStation 4, Xbox One"
4440,"PlayStation 3, Xbox One, PC, macOS, Xbox 360"
3371,"PlayStation 4, Xbox One, PC"
1774,"PC, PlayStation 4, PS Vita, Xbox One, Nintendo Switch, iOS, Linux, macOS, Android"
752,"PlayStation 4, Nintendo Switch, Xbox One, macOS, PC"
58753,"PC, Xbox One, Xbox Series S/X"
16113,"PC, Xbox 360, PlayStation 3"
58617,"Nintendo Switch, PC, Xbox One, PlayStation 4, PlayStation 5, Xbox Series S/X"
12756,"PC, PlayStation 3, Xbox 360"
4094,"PlayStation 3, Xbox 360, PC, Android, Xbox One"
274762,"PlayStation 4, PC, Nintendo Switch, Xbox One"
4101,"PlayStation 4, PlayStation 3, Xbox 360, Wii U, PC, Xbox One, Nintendo Switch"
28199,"Xbox One, PC, Nintendo Switch, Xbox Series S/X"
11276,"PC, macOS, Wii, Xbox 360, PlayStation 3, iOS, Xbox One"
18336,"Xbox 360, PC, Xbox One"
306124,"PC, Nintendo Switch, PlayStation 4, Xbox One"
56184,"GameCube, Android, PC, iOS, PlayStation 4, PlayStation 2, Wii"
3892,"PC, Wii U, Xbox 360, PlayStation 3"
3631,PlayStation 4
3842,"PC, Xbox One, PlayStation 4, Xbox 360, PlayStation 3"
28559,"Xbox 360, PlayStation 3, PlayStation 4, Xbox One, PC"
2597,"PC, iOS, Nintendo DS, PlayStation 3, Nintendo 3DS, Xbox 360, Wii, PS Vita, Android"
2623,"Web, Nintendo Switch, PC, Xbox One, PlayStation 4, Xbox 360, PlayStation 3"
4573,"PC, PlayStation 3"
45821,"Xbox One, Nintendo Switch, PlayStation 4, PC"
58755,"PlayStation 5, Xbox One, PC, PlayStation 4"
2553,PlayStation 4
9966,"Nintendo Switch, PC, PlayStation 4, Xbox One, PlayStation 5"
22121,"Xbox One, PC, macOS, Nintendo Switch, PlayStation 4, Linux"
3209,"PlayStation 4, PlayStation 3"
2115,"PlayStation 4, Nintendo Switch, Xbox One, PC"
4123,"Nintendo Switch, macOS, PC, PlayStation 4, PlayStation 3, Xbox 360, Xbox One"
13247,"Android, Linux, macOS, PC, iOS, PlayStation 4, Xbox One, Nintendo Switch"
9671,"PlayStation 4, Xbox One, PC, macOS, Linux"
2728,"PC, Xbox One, PlayStation 4"
14446,"Wii U, Xbox One, Xbox 360, PlayStation 3, PC"
19569,"Xbox 360, PlayStation 4, PC, PlayStation 2, PlayStation 3, Xbox"
13913,"macOS, PlayStation 2, PlayStation 3, PC"
58550,"PlayStation 4, PC, PlayStation 5"
3368,"PlayStation 4, PS Vita, PC, macOS"
17857,"Xbox Series S/X, PC, Xbox One, Nintendo Switch, PlayStation 4"
50778,"PC, Xbox One, PlayStation 4"
42895,"PC, Xbox One, PlayStation 4"
750,"PlayStation 4, PC, Xbox One"
14962,"Xbox 360, PlayStation 3, PC"
13628,"PlayStation 4, Xbox One, PC, macOS"
28152,"PlayStation 4, PC, Xbox One"
5193,"PlayStation 5, PlayStation 4, PC, PlayStation"
12320,"Xbox One, PC, macOS, Linux, Nintendo Switch, PlayStation 4"
11312,"PlayStation 4, Xbox One, Nintendo Switch, PC, macOS, Linux"
2518,"PC, PlayStation 3, Xbox, Classic Macintosh, PlayStation 2, Xbox 360, PlayStation 4"
14016,"PC, Xbox 360, Xbox One, macOS"
17803,"Xbox One, PC"
3427,"Xbox One, PC, PlayStation 4, PlayStation 3, Xbox 360"
274480,"Nintendo Switch, Xbox One, PC, PlayStation 4, Xbox Series S/X, PlayStation 5"
16359,"PC, Linux, macOS, PlayStation 4, Xbox One"
250,"Xbox One, macOS, Linux, Nintendo Switch, Nintendo 3DS, Wii U, PlayStation 4, PS Vita, iOS, PC"
